name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description
Devil Dogs,"1 whole Chocolate Sheet Cake (see ""Best Chocolate Sheet Cake Ever"" On Tasty Kitchen)\n1 whole Recipe For ""That's The Best Frosting I've Ever Had"" On Tasty Kitchen (or You Can Use Frozen Whipped Topping)\n Maraschino Cherries",http://thepioneerwoman.com/cooking/2011/02/devil-dogs/,http://static.thepioneerwoman.com/cooking/files/2011/02/5471010984_60c9544d59_o.jpg,PT20M,12,2/24/2011,PT45M,"Raise your hand if you know what a Devil Dog is. Well, let me amend that: raise your hand if, to you, a Devil Dog is a chocol..."
Chicken Fried Steak,"3 pounds Cube Steak (tenderized Round Steak That's Been Extra Tenderized)\n1-1/2 cup Whole Milk, Plus Up To 2 Cups For Gravy\n2 whole Large Eggs\n3 cups All-purpose Flour\n Seasoned Salt\n1/4 teaspoon Cayenne\n LOTS Of Black Pepper. Lots.\n Canola Oil, For Frying\n Salt And Pepper, For Both Meat And Gravy",http://thepioneerwoman.com/cooking/2011/02/chicken-fried-steak/,http://static.thepioneerwoman.com/cooking/files/2011/02/5474444101_0e1db7dfb4_o.jpg,PT25M,8,2/28/2011,PT15M,"There's nothing special about this dish, except that it's a total miracle.     It's Chicken Fried Steak, is what it is. I mad..."
Grasshopper Pie,"16 whole Chocolate Sandwich Cookies\n2 Tablespoons Butter, Melted\n24 whole Large Marshmallows (or Container Of Marshmallow Fluff)\n2/3 cups Half-and-half\n2 Tablespoons Creme De Menthe Liqueur (more To Taste)\n2 Tablespoons Creme De Cacao Liqueur\n Drop Or Two Of Green Food Coloring\n1 cup Heavy Cream\n Extra Cookie Crumbs, For Sprinkling",http://thepioneerwoman.com/cooking/2011/03/grasshopper-pie/,http://static.thepioneerwoman.com/cooking/files/2011/03/5495723664_3c56a2cf19_o.jpg,PT,12,3/4/2011,PT20M,"I love desserts containing creme de menthe. I'm still not sure what my mom was thinking, but I used to eat creme de menthe pa..."
Short Ribs in Tomato Sauce,"8 whole Beef Short Ribs\n2 Tablespoons Olive Oil\n Salt And Pepper, to taste\n1 Tablespoon Sugar\n4 cloves Garlic, Crushed\n1 whole Medium Onion, Diced\n1 cup Red Or White Wine\n1 can (28 Ounce) Whole Tomatoes\n1 can (14 Ounce) Tomato Sauce\n1 teaspoon Salt\n1/4 teaspoon Red Pepper Flakes\n1/4 teaspoon Ground Thyme\n1 pound Fettuccine\n Grated Parmesan Cheese\n Minced Fresh Parsley",http://thepioneerwoman.com/cooking/2011/03/short-ribs-in-tomato-sauce/,http://static.thepioneerwoman.com/cooking/files/2011/03/5503914881_003ca8be50_o.jpg,PT4H,6,3/7/2011,PT10M,"I've said it before and I'll say it again: Short ribs are my life. They really, really are. I just can't think of another cut..."
Happy Pi Day!," Crust\n18 whole Graham Crackers (the 4-section Large Pieces)\n1/3 cup Sugar\n1/3 cup Butter, Melted\n _____\n Filling\n1 Tablespoon (heaping) Lime Zest\n1/2 cup Lime Juice\n2 whole Egg Yolks\n1 can (14 Oz) Sweetened Condensed Milk",http://thepioneerwoman.com/cooking/2011/03/happy-pi-day/,http://static.thepioneerwoman.com/cooking/files/2011/03/keylime.jpg,PT1H,12,3/14/2011,PT15M,"Did you know today is Pi Day?     Not Pie Day. Pi Day. A day set aside by founder Larry Shaw to commemorate...well, Pi.     N..."
Two Crab Dips,"2 packages 8 Ounce Cream Cheese\n2 Tablespoons Mayonnaise\n2 cans (7-ounce Each) Crabmeat (or Use Fresh Or Frozen)\n4 whole Green Onions, Sliced\n2 Tablespoons Whole Milk\n2 Tablespoons Horseradish (more To Taste)\n1/2 teaspoon Salt\n Freshly Ground Black Pepper\n5 dashes Tabasco (more Or Less To Taste)\n1/4 cup Slivered Almonds",http://thepioneerwoman.com/cooking/2011/03/two-crab-dips/,http://static.thepioneerwoman.com/cooking/files/2011/03/dip.jpg,PT25M,12,3/10/2011,PT10M,"I'm in Savannah, Georgia as I type this. Marlboro Man and the boys are with me. When I'm finished here (oh my, have we had an..."
Sweet Cinnamon Scones,3 cups All-purpose Flour\n1/3 cup Sugar\n5 teaspoons Baking Powder\n1/2 teaspoon Ground Cinnamon\n2 sticks (1 Cup) Unsalted Butter\n3/4 cups Heavy Cream\n1 whole Egg\n1 teaspoon Vanilla Extract\n1 cup Cinnamon Chips\n Topping\n1/2 cup Sugar\n1 teaspoon Ground Cinnamon\n1-1/2 teaspoon Heavy Cream,http://thepioneerwoman.com/cooking/2011/03/sweet-cinnamon-scones/,http://static.thepioneerwoman.com/cooking/files/2011/03/5525020534_a195290297_o1.jpg,PT25M,8,3/15/2011,PT20M,"I made these scones Sunday afternoon. Then I ate them.     I started to post the recipe yesterday morning, but when I saw the..."
Sour Cream Noodle Bake,"1-1/4 pound Ground Chuck\n1 can 15-ounces Tomato Sauce\n1/2 teaspoon Salt\n Freshly Ground Black Pepper\n8 ounces, weight Egg Noodles\n1/2 cup Sour Cream\n1-1/4 cup Small Curd Cottage Cheese\n1/2 cup Sliced Green Onions (less To Taste)\n1 cup Grated Sharp Cheddar Cheese",http://thepioneerwoman.com/cooking/2011/03/sour-cream-noodle-bake/,http://static.thepioneerwoman.com/cooking/files/2011/03/5533560574_a4480dfc41_o.jpg,PT20M,8,3/17/2011,PT10M,"Raise your hand if you love recipes with the word ""Bake"" in the title.    This is a classic old recipe shared with my mom by ..."
Grilled Chicken and Roasted Red Pepper Panini,"2 whole Boneless, Skinless Chicken Breasts\n8 whole Sun-dried Tomatoes, Packed In Oil\n3 Tablespoons Prepared Basil Pesto\n1 Tablespoon Extra Virgin Olive Oil\n1 Tablespoon Lemon Juice\n1/2 teaspoon Kosher Salt\n Freshly Ground Black Pepper\n1/4 cup Mayonnaise\n2 whole Red Bell Peppers\n8 whole Slices Provolone Or Mozzarella Cheese\n8 slices Good Whole Grain Sandwich Bread\n4 Tablespoons Butter, Softened",http://thepioneerwoman.com/cooking/2011/03/grilled-chicken-and-roasted-red-pepper-panini/,http://static.thepioneerwoman.com/cooking/files/2011/03/5545275364_b02f6396a6_z.jpg,PT25M,4,3/21/2011,PT20M,"I love panini.     I love all varieties of panini.     I whipped this one up yesterday. It's nice and basic, and can be adapt..."
Spicy Dr. Pepper Shredded Pork,"1 whole Large Onion\n1 whole Pork Shoulder (""pork Butt"") - 5 To 7 Pounds\n Salt And Freshly Ground Black Pepper\n1 can (11 Ounce) Chipotle Peppers In Adobo Sauce\n2 cans Dr. Pepper\n2 Tablespoons Brown Sugar",http://thepioneerwoman.com/cooking/2011/03/spicy-dr-pepper-shredded-pork/,http://static.thepioneerwoman.com/cooking/files/2011/03/5551711173_dc42f7fc4b_z.jpg,PT6H,18,3/23/2011,PT5M,"It came to me in a vision, this bizarre decision to cook a pork butt in Dr Pepper.     Then again, so did my decision to get ..."
"Pasta Salad with Tomatoes, Zucchini, and Feta","12 ounces, weight Farfalle (bowtie) Pasta\n2 Tablespoons Extra Virgin Olive Oil\n1 whole Lemons (more To Taste)\n Salt\n Freshly Ground Black Pepper\n2 whole Zucchini, Cut Into Small Wedges Or Diced\n10 ounces, weight Grape Tomatoes, Halved Lengthwise\n1/3 cup Minced Fresh Parsley\n6 ounces, weight Crumbled Feta Cheese",http://thepioneerwoman.com/cooking/2011/03/pasta-salad-with-tomatoes-zucchini-and-feta/,http://static.thepioneerwoman.com/cooking/files/2011/03/5566512470_9e98939ab3_z.jpg,PT10M,12,3/28/2011,PT10M,"Yesterday, after a weekend of brisket, chocolate cake, and innumerable other naughty delights, suddenly all I wanted was a co..."
My Brother’s Chicken Tacos,"16 whole Corn Tortillas (small Size)\n4 whole Boneless, Skinless Chicken Breasts, Cut Into Pieces\n Salt, Cumin, Chili Powder To Taste (or Use Taco Seasoning)\n2 Tablespoons Canola Oil\n2 cans (4 Ounce) Diced Green Chilies\n1-1/2 cup Finely Grated Cheese (cheddar Or Cheddar/jack Mix)\n Sour Cream\n Hot Sauce (Chulula Or Other Brand)\n2 cups Thinly Sliced Romaine Lettuce (or Any Lettuce)\n4 whole Roma Tomatoes, Diced\n Canola Oil, For Frying Tacos",http://thepioneerwoman.com/cooking/2011/03/my-brothers-chicken-tacos/,http://static.thepioneerwoman.com/cooking/files/2011/03/tacos.jpg,PT30M,8,3/31/2011,PT10M,"Before I share this recipe with you, let me warn you: it's a royal mess. But as is the case with many messy dishes (cinnamon ..."
Red Velvet Sheet Cake,"1 cup Shortening\n1-3/4 cup Sugar\n2-1/2 cups Cake Flour\n1-1/4 teaspoon Salt\n2 whole Eggs\n1 cup Buttermilk\n1 teaspoon Vanilla Extract\n1 teaspoon Baking Soda\n1-1/2 teaspoon Vinegar\n1-1/2 ounce, fluid Red Food Coloring\n1-1/2 teaspoon Cocoa Powder",http://thepioneerwoman.com/cooking/2011/04/red-velvet-sheet-cake/,http://static.thepioneerwoman.com/cooking/files/2011/04/5587851660_5c7cdce3c0_o.jpg,PT20M,24,4/4/2011,PT20M,I'm a sheet cake type of girl. I love the simplicity...the ease...the I-don't-have-to-make-layer-cakes-if-I-don't-want-to-dan...
Vegetable Lasagna,"10 ounces, weight Lasagna Noodles\n2 Tablespoons Olive Oil\n1 whole Medium Onion\n4 cloves Garlic\n1 whole Red Bell Pepper, Diced\n24 ounces, weight White Mushrooms, Chopped\n4 whole Squash (yellow Or Zucchini), Diced\n1 can (28 Ounce) Whole Tomatoes\n1/2 cup White Wine\n1/4 cup Fresh Parsley, Chopped (more To Taste)\n1/2 teaspoon Kosher Salt (more To Taste)\n Freshly Ground Black Pepper\n 1/2 Teaspoon Red Pepper Flakes\n30 ounces, weight Ricotta Cheese\n2 whole Eggs\n1/2 cup Grated Parmesan\n1/4 teaspoon Kosher Salt\n Freshly Ground Black Pepper\n1 pound Thinly Sliced Mozarella Cheese\n Extra Parmesan Cheese, For Sprinkling",http://thepioneerwoman.com/cooking/2011/04/vegetable-lasagna/,http://static.thepioneerwoman.com/cooking/files/2011/04/lasagna.jpg,PT45M,12,4/11/2011,PT20M,"I woke up yesterday knowing I was going to make vegetable lasagna of some kind. It was meant to be, it was in the cards, it w..."
Killer Club Sandwich,"12 slices Sandwich Bread\n4 Tablespoons Mayonnaise\n1 Tablespoon Prepared Basil Pesto\n1 Tablespoon Prepared Sun-dried Tomato Pesto (or Just A Couple Of Pureed Sun-dried Tomatoes)\n8 slices Bacon, Cut In Half\n1/2 pound Shaved Ham\n1/2 pound Shaved Turkey\n4 whole Avocados, Peeled And Sliced\n4 slices Cheese (swiss, Mozzarella, Etc.)\n Romaine Or Green Leaf Lettuce",http://thepioneerwoman.com/cooking/2011/04/killer-club-sandwich/,http://static.thepioneerwoman.com/cooking/files/2011/04/club42.jpg,PT15M,4,4/8/2011,PT10M,Club sandwiches remind me of the seventies. I went through a phase in the seventies when I'd order club sandwiches any time m...
Greek Salad,"1 head Romaine Lettuce, Chopped\n4 whole Ripe Tomatoes, Cut Into Six Wedges Each, Then Each Wedge Cut In Half\n1 whole (large) Cucumber, Peeled, Cut Into Fourths Lengthwise, And Diced Into Large Chunks\n1/2 whole Red Onion, Sliced Very Thin\n30 whole Pitted Kalamata Olives, Cut In Half Lengthwise\n6 ounces, weight Crumbled Feta Cheese\n Fresh Parsley, Roughly Chopped\n1/4 cup Olive Oil\n2 Tablespoons Red Wine Vinegar\n1 teaspoon Sugar (more To Taste)\n1 clove Garlic, Minced\n6 whole Kalamata Olives (extra), Chopped Fine\n1/4 teaspoon Salt\n Freshly Ground Black Pepper\n1 whole Lemon, For Squeezing",http://thepioneerwoman.com/cooking/2011/04/greek-salad/,http://static.thepioneerwoman.com/cooking/files/2011/04/greek.jpg,PT,8,4/18/2011,PT20M,"It's Holy Week, and you know what that means: it's Greek Salad time!     Okay, so Greek Salad has absolutely nothing to do wi..."
Vanilla Cupcakes with Vanilla Cream Cheese Icing," CUPCAKES\n1 cup Vegetable Shortening\n1-3/4 cup Sugar\n2-1/2 cups Cake Flour\n1-1/4 teaspoon Salt\n2 whole Large Eggs\n1 cup Buttermilk\n2-1/2 teaspoons Vanilla Extract (or The Caviar From 1 Vanilla Bean)\n1 teaspoon Baking Soda\n1-1/2 teaspoon Vinegar\n Icing\n1 stick Butter, Softened\n1 package (8 Ounce) Cream Cheese, Softened\n4 cups Sifted Powdered Sugar (more If Needed)\n1/4 teaspoon Salt\n3 teaspoons Vanilla Extract (or The Caviar From 1 Vanilla Bean)",http://thepioneerwoman.com/cooking/2011/04/basic-vanilla-cupcakes-with-vanilla-cream-cheese-icing/,http://static.thepioneerwoman.com/cooking/files/2011/04/5616296404_5ddbac54de_o.jpg,PT20M,18,4/13/2011,PT20M,"I made cupcakes yesterday, for a very important occasion:     I wanted to.     And today, if you want to, you can make cupcak..."
"Grilled Chicken Salad with Feta, Fresh Corn, and Blueberries","4 whole Boneless, Skinless Chicken Breasts\n Salt And Pepper, to taste\n Olive Oil, For Drizzling\n3 stalks Celery (inner Light Green Stalks), Finely Diced\n2 ears Fresh Corn\n1/4 whole Medium Red Onion, Finely Diced\n1-1/2 cup Blueberries\n3 Tablespoons Fresh Dill, Minced\n4 Tablespoons Mayonnaise\n4 Tablespoons Sour Cream\n1/4 cup Half-and-half\n1 whole Lemon\n1 teaspoon Sugar (more To Taste)\n Salt And Pepper (additional) To Taste\n3/4 cups Crumbled Feta",http://thepioneerwoman.com/cooking/2011/04/grilled-chicken-salad-with-feta-fresh-corn-and-blueberries/,http://static.thepioneerwoman.com/cooking/files/2011/04/TPW_4112.jpg,PT15M,12,4/28/2011,PT20M,"I had dinner in my hometown the other evening, and it was so much fun to catch up with old friends and acquaintances I hadn't..."
Knock You Naked Brownies,"1 box (18.5 Ounce) German Chocolate Cake Mix (I Used Duncan Hines)\n1 cup Finely Chopped Pecans\n1/3 cup Evaporated Milk\n1/2 cup Evaporated Milk (additional)\n1/2 cup Butter, Melted\n60 whole Caramels, Unwrapped\n1/3 cup Semi-Sweet Chocolate Chips\n1/4 cup Powdered Sugar",http://thepioneerwoman.com/cooking/2011/05/knock-you-naked-brownies/,http://static.thepioneerwoman.com/cooking/files/2011/05/brownies.jpg,PT23M,12,5/2/2011,PT15M,"Goodness. You have to try these.    Here's how it shakes out. Several weeks ago, I was gifted with a tin of brownies. To be s..."
Risotto Primavera,"5 cups Low Sodium Chicken Broth\n2 Tablespoons Olive Oil\n2 Tablespoons Butter\n1/2 whole Large Yellow Onion Finely Diced\n3 whole Carrots, Peeled And Finely Diced\n1/2 cup Cauliflower Pieces\n1/2 cup Broccoli Pieces\n1 whole Yellow Squash, Finely Diced\n1/2 teaspoon Kosher Salt\n1 Tablespoon Olive Oil (additional)\n1 Tablespoon Butter (additional)\n1-1/2 cup Arborio Rice\n1-1/2 cup Dry White Wine\n1-1/2 teaspoon Kosher Salt (additional), More To Taste\n4 whole Green Onions, Thinly Sliced\n1/2 cup Frozen Peas\n4 ounces, weight Goat Cheese\n1/2 cup Grated Parmesan Cheese\n Fresh Dill, For Garnish\n Optional Vegetables To Substitute For Any Of The Above: Mushrooms, Red Bell Pepper, Zucchini, Asparagus Pieces",http://thepioneerwoman.com/cooking/2011/05/risotto-primavera/,http://static.thepioneerwoman.com/cooking/files/2011/05/risottoprimavera.jpg,PT45M,8,5/9/2011,PT10M,"I love risotto.     And I love primavera dishes: pasta, pizza, lasagna.    Last night, because it was Mother's Day, because w..."
Make This Today,"2 whole Medium Onions, Halved And Sliced\n1-1/4 stick Butter\n2 pounds Cube Steak, Cut Into 1/2-inch Strips\n1 teaspoon Kosher Salt\n1 teaspoon Black Pepper\n1/4 cup Worcestershire Sauce\n5 dashes Tabasco Sauce\n4 whole Deli Rolls (crusty), Split\n8 slices (thick) Fresh Mozzarella\n8 slices (thick) Ripe Tomato\n1-1/2 cup Arugula",http://thepioneerwoman.com/cooking/2011/05/make-this-today/,http://static.thepioneerwoman.com/cooking/files/2011/05/sand.jpg,PT20M,4,5/31/2011,PT10M,"There's the Marlboro Man Sandwich. Pure, unadulterated, and unafraid.     Try not to be blown away by my 2007 food photograph..."
Tuna Melts,"5 ounces, weight Tuna\n1/4 cup Finely Chopped Red Onion\n1/4 cup Finely Chopped Red Bell Pepper\n1 whole Fresh Jalapeno, Finely Chopped\n2 whole Hard Boiled Eggs, Chopped\n6 whole Sweet Gerkins, Sliced\n1/3 cup Mayonnaise\n2 Tablespoons Dijon Mustard\n Splash Of Pickle Juice\n Salt And Pepper, to taste\n6 whole English Muffins Split\n12 slices Cheese (Swiss, Provolone, Muenster)",http://thepioneerwoman.com/cooking/2011/06/tuna-melts/,http://static.thepioneerwoman.com/cooking/files/2011/06/tuna.jpg,PT,6,6/2/2011,PT20M,"When I was a teenager, my mom and I went over to a nice lady's house for reasons I can't remember. Maybe she wanted to visit ..."
"Spicy Pasta Salad with Smoked Gouda, Tomatoes, and Basil","12 ounces, weight Mostaccioli\n1/2 cup Mayonnaise\n1/4 cup Whole Milk\n4 Tablespoons White Vinegar\n1-1/2 teaspoon Adobo Sauce From Chipotle Peppers (or One Minced Chipotle Pepper)\n1/2 teaspoon Salt\n Ground Black Pepper To Taste\n10 ounces, weight Grape Tomatoes, Halved Lengthwise\n1/2 pound Smoked Gouda Cheese, Cut Into Small Cubes\n24 whole Basil Leaves (chiffonade)",http://thepioneerwoman.com/cooking/2011/06/spicy-pasta-salad-with-smoked-gouda-tomatoes-and-basil/,http://static.thepioneerwoman.com/cooking/files/2011/06/5842229930_73a968f08e_z.jpg,PT9M,8,6/17/2011,PT15M,"I found some smoked Gouda at my lovely little local grocery store yesterday, and I knew immediately what I was going to make...."
Rhubarb Cobbler,4 cups Chopped Rhubarb\n1-1/2 cup Sugar\n1/4 teaspoon Salt\n2 Tablespoons Lemon Juice\n1/2 teaspoon Almond Extract (optional)\n2 cups All-purpose Flour\n2 Tablespoons Sugar\n1/4 teaspoon Salt\n1 Tablespoon Baking Powder\n1/4 cup Vegetable Shortening Or Lard\n1/4 cup Butter\n1/2 cup Whole Milk\n1 whole Egg,http://thepioneerwoman.com/cooking/2011/06/rhubarb-cobbler/,http://static.thepioneerwoman.com/cooking/files/2011/06/rhubarb.jpg,PT35M,12,6/20/2011,PT15M,"Oh, do I love rhubarb. It's so tart and strange and beautiful. So weird. So misunderstood.    Rhubarb reminds me of my grandm..."
Bananas Foster,"1 stick Butter (salted)\n1 cup Packed Dark Brown Sugar\n1/2 cup (to 3/4 Cup) Heavy Cream\n1/2 cup Dark Rum\n2 whole Bananas, Sliced Diagonally Into Thick Slices\n1/2 cup Chopped Walnuts Or Pecans\n Dash Of Cinnamon",http://thepioneerwoman.com/cooking/2011/08/bananas-foster/,http://static.thepioneerwoman.com/cooking/files/2011/08/foster31.jpg,PT5M,6,8/31/2011,PT1M,"Those of you who've read my site for any length of time likely know that I hate, abhor, loathe, and recoil at the sight of ba..."
Baked Lemon Pasta,"1 pound Thin Spaghetti\n4 Tablespoons Salted Butter\n2 Tablespoons Olive Oil\n2 cloves Garlic, Minced\n1 whole Lemon, Juiced And Zested\n2 cups Sour Cream\n1/2 teaspoon Kosher Salt, Or More To Taste\n Plenty Of Grated Parmesan Cheese\n Flat-leaf Parsley, Chopped\n Extra Lemon Juice",http://thepioneerwoman.com/cooking/2009/05/baked-lemon-pasta/,http://static.thepioneerwoman.com/cooking/files/2010/07/3529272690_08cfa6a74d.jpg,PT30M,6,5/13/2009,PT15M,    I love simple dishes like this. They remind me of my single vegetarian days in L.A. when I'd often come home from work an...
Baklava,"1 package Phyllo Dough\n4 cups Chopped Walnuts Or Pecans\n1 teaspoon Cinnamon\n1-1/2 stick Butter, Melted\n2 cups Honey\n1/2 cup Water\n1/2 cup Sugar\n3 teaspoons Vanilla Extract",http://thepioneerwoman.com/cooking/2011/12/baklava/,http://static.thepioneerwoman.com/cooking/files/2011/12/bak.jpg,PT45M,16,12/12/2011,PT20M,Baklava is yummy...but it's yummiest when it's homemade. And it doesn't have to be my home that makes it. It can be anyone's ...
Corn Dog Muffins,1/4 cup Shortening\n1 cup Yellow Cornmeal\n1/2 cup All-purpose Flour\n1 teaspoon Salt\n1 cup Buttermilk\n1/2 cup Milk\n1 whole Egg\n1 Tablespoon Baking Powder\n1/2 teaspoon Baking Soda\n6 whole Hot Dogs,http://thepioneerwoman.com/cooking/2012/10/corn-dog-muffins/,http://static.thepioneerwoman.com/cooking/files/2012/10/corndogmuffins.jpg,PT15M,6,10/18/2012,PT15M,"Corn Dog Muffins are sweeping the nation!     Not really, but if you have kids in the house, you're likely to have whipped up..."
Italian Pot Roast,"2 whole Beef Chuck Roasts\n2 jars Roasted Red Peppers\n2 jars Artichoke Hearts, Drained\n6 whole Sundried Tomatoes (jarred)\n2 whole Yellow Onions, Peeled And Quartered\n28 ounces, fluid Beef Stock Or Beef Broth\n2 Tablespoons Parsley Flakes\n6 cloves Garlic, Peeled\n1 cup Wine (red Or White)\n2 Tablespoons Flour\n Salt And Pepper, to taste\n12 ounces, weight Egg Noodles\n Fresh Parsley, Minced",http://thepioneerwoman.com/cooking/2012/10/italian-pot-roast/,http://static.thepioneerwoman.com/cooking/files/2012/10/italianpotroast.jpg,PT4H,12,10/22/2012,PT1M,I made this scrumptious pot roast a couple of weeks ago and delivered it to the Lodge the night a couple members of the tv cr...
Silver Dollar Pumpkin Pancakes,"3 cups Cake Flour\n1 teaspoon Salt\n2 Tablespoons Baking Powder\n3 Tablespoons Sugar\n2 cups Canned Pumpkin Puree\n2 whole Eggs\n3 teaspoons Vanilla\n2-1/2 cups Milk\n1/4 teaspoon Pumpkin Pie Spice\n1/2 cup Heavy Cream\n3 Tablespoons Maple Syrup\n Butter, For Serving\n Maple Syrup, Warmed, For Serving\n Finely Chopped Pecans, For Serving\n Caramel Sauce, For Drizzling (optional)",http://thepioneerwoman.com/cooking/2012/10/silver-dollar-pumpkin-pancakes/,http://static.thepioneerwoman.com/cooking/files/2012/10/pumpkinpancakes.jpg,PT10M,6,10/29/2012,PT10M,"In my hometown when I was growing up, there was, inexplicably, a Dutch pancake restaurant called Pannekoeken Huis. I have no ..."
"Tomorrow’s (Luscious, Scrumptious!) Recipes","2 sticks Salted Butter, Slightly Softened\n1 cup Powdered Sugar\n1 whole Egg\n2 teaspoons Vanilla Extract\n2-1/2 cups Flour\n1/2 cup Cocoa Powder\n3/4 teaspoons Salt\n4 ounces, weight White Almond Bark\n4 ounces, weight Chocolate Almond Bark\n DIPPING BAR\n Pistachios, Finely Chopped\n M &amp; M's, Slightly Chopped\n Toffee Bars, Chopped\n Assorted Nuts, Sprinkles, Candies",http://thepioneerwoman.com/cooking/2012/11/tomorrows-luscious-scrumptious-recipes/,http://static.thepioneerwoman.com/cooking/files/2012/11/cornchowder.jpg,PT10M,16,2/16/2012,PT2H,"The thirteen new episodes of Season 3 have all aired, and the new Thanksgiving episode will air November 17.    Here's a peek..."
Pull-Apart Bread," Dough\n2 cups Whole Milk\n1/2 cup Canaola Oil\n1/2 cup Sugar\n2-1/4 teaspoons Active Dry Yeast\n4 cups All-purpose Flour\n1/2 cup (additional) All-purpose Flour\n1/2 teaspoon Baking Powder\n1/2 teaspoon Baking Soda\n2 teaspoons Salt\n1 stick Butter, Melted\n1-1/2 cup Sugar\n3 Tablespoons Ground Cinnamon\n Icing\n3 cups Powdered Sugar\n2 Tablespoons Butter, Melted\n1 Tablespoon Maple Extract\n1/3 cup Whole Milk\n Dash Of Salt",http://thepioneerwoman.com/cooking/2012/11/pull-apart-bread/,http://static.thepioneerwoman.com/cooking/files/2012/11/pullapart.jpg,PT30M,12,11/12/2012,PT1H30M,"I've made no bones about the fact that I've been bitten by the Pinterest bug, and by ""bug"" I mean a gigantic brain-sucking ar..."
Buffalo Chicken Salad,"1 whole Boneless Skinless Chicken Breast\n Salt And Pepper, to taste\n2 Tablespoons Olive Oil\n2 Tablespoons Butter\n1/2 cup Louisiana Hot Sauce (Frank's, Etc.)\n Salad Greens: Iceberg, Romaine, Mixed Greens\n1/2 cup Blue Cheese Dressing\n Extra Blue Cheese Crumbles\n Celery Hearts, Leaves Intact",http://thepioneerwoman.com/cooking/2012/11/buffalo-chicken-salad/,http://static.thepioneerwoman.com/cooking/files/2012/11/buffalo.jpg,PT10M,2,11/14/2012,PT10M,The idea for this salad came to me...on an airplane.     Last week I went on a small tour for my new children's book. For the...
Wild Rice Pancakes,"1 cup Wild Rice\n3 cups All-purpose OR (if You Have It) Cake Flour\n1/2 teaspoon Salt\n2 Tablespoons Baking Powder\n4 Tablespoons Sugar\n3-1/2 cups Whole Milk\n2 whole Eggs\n1 Tablespoon Vanilla\n2 Tablespoons Butter, Melted\n Butter, For Serving\n Maple Or Pancake Syrup",http://thepioneerwoman.com/cooking/2012/11/wild-rice-pancakes/,http://static.thepioneerwoman.com/cooking/files/2012/11/wildrice.jpg,PT1H,6,11/19/2012,PT15M,"Before I begin explaining this luscious deliciousness, I need to state for the record that I love Minnesota. I've now visited..."
Blueberry Crumb Cake,1/2 stick Butter\n1 Tablespoon (additional) Butter\n3/4 cups Sugar\n1 whole Egg\n1/2 teaspoon Vanilla Extract\n2 cups All-purpose Flour\n2-1/4 teaspoons Baking Powder\n1/2 teaspoon Salt\n3/4 cups Whole Milk\n2 cups Fresh Blueberries\n _____\n FOR THE TOPPING:\n3/4 sticks Butter\n1/2 cup Sugar\n1/2 teaspoon Cinnamon\n1/2 cup Flour\n1/4 teaspoon Salt,http://thepioneerwoman.com/cooking/2010/07/blueberry-crumb-cake/,http://static.thepioneerwoman.com/cooking/files/2010/07/4833203984_4f06a7268f_b.jpg,PT45M,16,7/27/2010,PT10M,    I had approximately one million blueberries in my refrigerator yesterday. They were left over from the Fourth of July and...
Cajun Meatloaf,"3 whole Bell Peppers (2 If They're Large)\n2 whole Medium Onions\n1 bunch Celery (5-6 Ribs)\n8 cloves (to 10 Cloves) Of Garlic\n6 Tablespoons Butter\n1 teaspoon Salt\n1 Tablespoon Worcestershire\n1 teaspoon Black Pepper\n1 teaspoon Ground Nutmeg\n1 teaspoon Cayenne Pepper\n Optional:  A Few Shakes Of Hot Sauce\n2 cups Ketchup, Divided\n1/2 cup Whole Milk\n1 cup (to 2 Cups) Breadcrumbs\n2 pounds Of Lean Ground Beef (92% Lean)\n1 pound Ground Pork\n3 whole Eggs\n2 Tablespoons Honey",http://thepioneerwoman.com/cooking/2009/01/cajun-meatloaf/,http://static.thepioneerwoman.com/cooking/files/2010/07/3190861863_2664421a5c.jpg,PT40M,8,1/18/2009,PT40M,"By Pastor Ryan.    Note from PW: I was going to post this first thing Monday morning, but it just looks too good to wait and ..."
Buttery Thyme Bread,"1 loaf French Bread (Storebought Is Fine)\n2 sticks Salted Butter, Softened\n3 sprigs Or More Fresh Thyme, To Taste",http://thepioneerwoman.com/cooking/2008/01/buttery_thyme_bread/,http://static.thepioneerwoman.com/cooking/files/2010/07/2221035126_562aedc5e7.jpg,PT15M,6,1/26/2008,PT5M,"  Ha! When you heard me tease and tease about the world-famous Buttery Thyme Bread recipe I'd soon post here, I'll bet you pi..."
Butternut Squash Puree,1 whole Butternut Squash\n2 Tablespoons (to 4 Tablespoons) Maple Syrup\n1/2 stick Butter\n1 dash Salt,http://thepioneerwoman.com/cooking/2007/11/butternut_squash_puree_try_it_or_ill_deck_ya_/,http://static.thepioneerwoman.com/cooking/files/2010/07/1896284773_82beacf0b6.jpg,PT30M,4,11/13/2007,PT30M,"    I would never say anything untoward here, as this is a family-friendly site. Especially during this family-oriented holid..."
